iter	Passed	Remaining
634	5157	2964
635	5164	2955
636	5171	2947
637	5178	2938
638	5185	2929
639	5191	2920
640	5198	2911
641	5207	2903
642	5216	2896
643	5223	2887
644	5229	2878
645	5236	2869
646	5243	2861
647	5251	2852
648	5257	2843
649	5265	2835
650	5272	2826
651	5279	2817
652	5286	2809
653	5293	2800
654	5301	2792
655	5308	2783
656	5315	2775
657	5322	2766
658	5329	2757
659	5336	2749
660	5343	2740
661	5350	2731
662	5357	2723
663	5364	2714
664	5371	2706
665	5379	2697
666	5386	2689
667	5392	2680
668	5400	2671
669	5408	2663
670	5417	2656
671	5424	2647
672	5431	2639
673	5438	2630
674	5445	2622
675	5452	2613
676	5459	2604
677	5466	2596
678	5473	2587
679	5480	2579
680	5487	2570
681	5494	2562
682	5501	2553
683	5509	2545
684	5516	2536
685	5522	2527
686	5529	2519
687	5536	2510
688	5543	2502
689	5550	2493
690	5557	2485
691	5564	2476
692	5571	2468
693	5579	2459
694	5586	2451
695	5593	2443
696	5600	2434
697	5607	2426
698	5614	2417
699	5622	2409
700	5631	2402
701	5639	2394
702	5646	2385
703	5653	2376
704	5660	2368
705	5667	2360
706	5674	2351
707	5681	2343
708	5690	2335
709	5699	2327
710	5707	2320
711	5716	2312
712	5724	2304
713	5733	2296
714	5742	2288
715	5748	2280
716	5756	2271
717	5763	2263
718	5770	2255
719	5777	2246
720	5784	2238
721	5791	2229
722	5798	2221
723	5805	2213
724	5812	2204
725	5819	2196
726	5827	2188
727	5836	2180
728	5844	2172
729	5851	2164
730	5859	2156
731	5866	2147
732	5873	2139
733	5880	2131
734	5887	2122
735	5894	2114
736	5901	2105
737	5908	2097
738	5915	2089
739	5922	2080
740	5929	2072
741	5936	2064
742	5943	2055
743	5950	2047
744	5956	2038
745	5964	2030
746	5971	2022
747	5978	2014
748	5985	2005
749	5992	1997
750	5999	1989
751	6006	1980
752	6013	1972
753	6020	1964
754	6028	1956
755	6037	1948
756	6044	1940
757	6053	1932
758	6060	1924
759	6068	1916
760	6076	1908
761	6083	1900
762	6091	1891
763	6098	1883
764	6105	1875
765	6113	1867
766	6120	1859
767	6127	1851
768	6134	1842
769	6141	1834
770	6148	1826
771	6155	1817
772	6162	1809
